specimen,preservation,genus,species,field_name,lifestyle,site,terrane,country,province,locality,siteN,latitude,longitude,elevation,species_reference,habitat_reference,SIA,BDNF,NXC1,CYTB,ND4,type_locality,id,label
JR387,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR388,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR389,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR391,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR392,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR393,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR395,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR396,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR398,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR399,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR400,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR405,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR407,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR410,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
